-
Disclaimers
• This report includes the listings that were active at the time of report generation.

"Report for Jan 7, 2023 to Feb 6, 2023 compared to Dec 7, 2022 - Jan 6, 2023"
Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views,
AIRDOG REPLACEMENT FUEL FILTER  2 MICRON  FF100-2 AIRDOG REPLACEMENT FILTER,133247535370,Promoted,"8,829","2,158",0,-100.0%,25,-61.5%,138,"1,198",-39.3%,797,-33.6%,"1,200",958,4,1,0,2,1,0.1%,0,0.0%,
AIRDOG REPLACEMENT FILTER FUEL PUMP 30 MICRON WATER SEPARATOR WS100,174103132094,Promoted,"3,522",851,0,-,19,0.0%,87,667,-26.5%,78,-45.5%,671,180,0,0,0,0,0,0.0%,0,-,
AIRDOG FUEL PUMP REPLACEMENT FILTERS FUEL FILTER FF100-2 WATER SEPARATOR WS100,382366105128,Promoted,"3,522","5,606",10,-54.5%,195,-55.2%,463,"4,109",-35.5%,829,-43.1%,"4,140","1,466",40,2,33,15,0,0.3%,1,2.5%,
FASS FUEL SYSTEM TITANIUM/TITANIUM SIGNATURE PARTICULATE REPLACEMENT FUEL FILTER,382775756937,Non-promoted,"3,257",145,0,-,17,-56.4%,111,0,-,17,-22.7%,0,145,3,0,0,1,2,0.7%,0,0.0%,
FASS TITANIUM TITANIUM SIGNATURE  REPLACEMENT PARTICLE & WATER SEPARATOR FILTERS,380722865656,Promoted,"3,196","2,206",1,0.0%,18,-40.6%,112,"1,552",-34.6%,523,3.2%,"1,563",643,12,1,0,6,5,0.3%,0,0.0%,
FASS FUEL SYSTEM TITANIUM/TITANIUM SIGNATURE SERIES REPLACEMENT WATER SEPARATOR,382775867406,Non-promoted,"3,196",43,0,-,7,-22.2%,24,0,-,12,9.1%,0,43,4,0,0,0,4,0.0%,0,0.0%,
AMP RESEARCH POWERSTEP FOR 20-22 CHEVY SILVERADO GMC SIERRA 2500 3500H 76254-01A,133936952976,Promoted,"2,640","3,182",16,-38.5%,87,60.9%,394,"2,355",-32.4%,330,-40.9%,"2,398",784,26,4,0,20,2,0.8%,0,0.0%,
AMP RESEARCH POWERSTEP 2019-2021 CHEVY SILVERADO GMC SIERRA 1500 PLUG N PLAY,175025670723,Promoted,"2,640","11,390",112,220.0%,149,190.0%,697,"9,624",19.0%,808,5.8%,"9,883","1,507",48,16,0,27,5,0.4%,1,2.1%,
AMP RESEARCH POWERSTEP FOR 2019-2022 DODGE RAM 2500 3500 DIESEL 76239-01A,174343970939,Promoted,"1,236","5,314",20,-25.9%,67,-17.1%,348,"4,248",72.0%,631,25.9%,"4,315",999,32,4,0,22,6,0.5%,0,0.0%,
AMP RESEARCH POWERSTEP RETRACTABLE FOR 19-21 DODGE RAM 1500 NEW BODY 76240-01A,383374417671,Promoted,889,"1,916",3,-66.7%,4,-65.0%,98,"1,708",46.5%,103,-43.7%,"1,739",177,28,0,0,19,9,1.0%,0,0.0%,
"Fastway Trailer 88-00-6500 Flip Automatic Jack Foot 6"" Extension 2 1/4"" Jack",134391038403,Promoted,779,"1,427",9,800.0%,55,236.8%,137,953,343.3%,273,279.2%,998,429,34,0,28,14,0,1.0%,0,0.0%,
AMP RESEARCH POWERSTEP FOR 20-21 FORD F250 F350 F450 PLUG N PLAY RUNNING BOARDS,174217168791,Promoted,723,"9,175",27,8.0%,41,-33.3%,360,"7,848",12.0%,899,-9.5%,"7,921","1,254",32,12,0,19,1,0.3%,0,0.0%,
AIRDOG DIESEL RX GLOW PLUGS 95-03 FORD POWERSTROKE 7.3L F250 F350 SUPER DUTY,132946465793,Promoted,682,"2,542",3,-62.5%,19,-47.6%,189,"2,225",-37.8%,106,-65.6%,"2,265",277,5,1,0,2,2,0.1%,0,0.0%,
AMP RESEARCH POWERSTEP 2014-2018 CHEVY SILVERADO GMC SIERRA 1500 PLUG N PLAY,133010090649,Promoted,667,"8,968",27,-65.8%,167,-62.8%,527,"7,431",-25.9%,816,-26.4%,"7,486","1,482",37,5,0,29,3,0.4%,0,0.0%,
AMP RESEARCH POWERSTEP FOR 2022 FORD F250 F350 SUPERDUTY SYNC 4 ONLY 76242-01A,385043317022,Promoted,606,"1,062",32,52.4%,67,106.3%,165,663,7.6%,135,-24.6%,712,350,5,1,0,1,3,0.2%,0,0.0%,
AMP RESEARCH POWERSTEP BOARDS FOR 2010-2018 DODGE RAM 1500 2500 3500 75138-01A-B,172567350854,Promoted,588,"23,116",286,29.4%,617,-12.7%,"2,267","16,035",33.5%,"3,911",50.9%,"16,605","6,511",137,41,5,81,10,0.5%,0,0.0%,
