-
Disclaimers
• This report includes the listings that were active at the time of report generation.

"Report for Jan 1, 2022 to Mar 30, 2022 compared to Oct 4, 2021 - Dec 31, 2021"
Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views,
AIRDOG REPLACEMENT FUEL FILTER  2 MICRON  FF100-2 AIRDOG REPLACEMENT FILTER,133247535370,Promoted,"8,782","9,075",16,-62.8%,440,-39.1%,609,"6,328",-1.8%,"1,682",-17.1%,"6,380","2,695",32,7,1,22,2,0.3%,3,9.4%,
AIRDOG FUEL PUMP REPLACEMENT FILTERS FUEL FILTER FF100-2 WATER SEPARATOR WS100,382366105128,Promoted,"8,782","7,617",8,-89.0%,427,-46.1%,552,"5,902",4.2%,728,-35.6%,"5,949","1,668",37,7,9,19,2,0.3%,1,2.7%,
AIRDOG REPLACEMENT FILTER FUEL PUMP 30 MICRON WATER SEPARATOR WS100,174103132094,Promoted,"5,899","5,596",8,-46.7%,277,196.9%,723,"4,198",113.6%,390,178.6%,"4,232","1,364",17,4,0,12,1,0.3%,0,0.0%,
AMP RESEARCH POWERSTEP FOR 20-22 CHEVY SILVERADO GMC SIERRA 2500 3500H 76254-01A,133936952976,Promoted,"2,535","11,570",97,-28.1%,153,0.0%,"1,051","9,997",130.7%,272,11.0%,"10,347","1,223",32,11,0,16,5,0.2%,0,0.0%,
AMP RESEARCH POWERSTEP 2019-2021 CHEVY SILVERADO GMC SIERRA 1500 PLUG N PLAY,175025670723,Promoted,"2,535","43,092",747,91.0%,"1,284",205.0%,"5,130","30,627",651.2%,"5,304",706.1%,"32,361","10,731",203,76,1,120,6,0.4%,2,1.0%,
FASS TITANIUM TITANIUM SIGNATURE  REPLACEMENT PARTICLE & WATER SEPARATOR FILTERS,380722865656,Promoted,"2,519","22,771",47,2.2%,549,25.7%,"1,580","17,738",9.5%,"2,857",1.7%,"17,941","4,830",64,11,0,45,8,0.3%,7,10.9%,
FASS FUEL SYSTEM TITANIUM/TITANIUM SIGNATURE PARTICULATE REPLACEMENT FUEL FILTER,382775756937,Non-promoted,"2,519","1,136",0,-,97,-7.6%,964,0,-,75,-32.4%,0,"1,136",8,0,0,2,6,0.2%,0,0.0%,
FASS FUEL SYSTEM TITANIUM/TITANIUM SIGNATURE SERIES REPLACEMENT WATER SEPARATOR,382775867406,Non-promoted,"2,447",295,0,-,30,-3.2%,195,0,-,70,-51.0%,0,295,0,0,0,0,0,0.0%,0,-,
AMP RESEARCH POWERSTEP FOR 2019-2022 DODGE RAM 2500 3500 DIESEL 76239-01A,174343970939,Promoted,"1,157","25,948",321,124.5%,"1,555",151.8%,"4,886","16,448",64.1%,"2,738",35.7%,"17,003","8,945",165,35,0,113,17,0.6%,2,1.2%,
AMP RESEARCH POWERSTEP RETRACTABLE FOR 19-21 DODGE RAM 1500 NEW BODY 76240-01A,383374417671,Promoted,732,"3,083",17,-71.7%,218,-34.5%,470,"1,934",1.2%,444,-38.5%,"1,962","1,121",6,0,0,6,0,0.2%,1,16.7%,
"Fastway Trailer 88-00-6500 Flip Automatic Jack Foot 6"" Extension 2 1/4"" Jack",134391038403,Promoted,720,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,
AMP RESEARCH POWERSTEP FOR 20-21 FORD F250 F350 F450 PLUG N PLAY RUNNING BOARDS,174217168791,Promoted,676,"66,001","2,287",24.0%,"2,142",42.6%,"6,529","47,525",25.7%,"7,518",1.2%,"51,290","14,711",330,164,0,153,13,0.5%,5,1.5%,
AMP RESEARCH POWERSTEP 2014-2018 CHEVY SILVERADO GMC SIERRA 1500 PLUG N PLAY,133010090649,Promoted,623,"33,385",475,-50.4%,969,-17.5%,"3,594","26,017",4.0%,"2,330",-38.7%,"27,094","6,291",111,42,0,62,7,0.3%,0,0.0%,
Smittybilt Cab Cover with Door Flap for 2007-2018 Wrangler JK 4DR Grey 1069,134452708528,Promoted,609,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,
AMP RESEARCH BEDSTEP RETRACTABLE REAR BUMPER STEP 2015-2020 FORD F150 75312-01A,133386250641,Promoted,606,"17,900",101,-19.2%,337,-2.5%,"1,521","14,034",90.7%,"1,907",-29.5%,"14,277","3,623",113,13,0,10,90,0.1%,0,0.0%,
