Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: htdca22t01.csv,,,,,,,,,,,,,,,,
"Table 1. Characteristics of human trafficking defendants in cases charged in U.S. district court, fiscal year 2020",,,,,,,,,,,,,,,,
"Report title: Human Trafficking Data Collection Activities, 2022  NCJ 305205",,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services Automated Case Tracking System, fiscal year 2020",,,,,,,,,,,,,,,,
"Author: Amy D. Lauger, BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 10/27/2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 1. Characteristics of human trafficking defendants in cases charged in U.S. district court, fiscal year 2020",,,,,,,,,,,,,,,,
,,Total,,,,"Peonage, slavery, forced labor, and sex trafficking ",,,,Sexual exploitation and other abuse of children,,,,Transportation for illegal sex activity,,
Defendant characteristics,,Number,Percent,,,Number,Percent,,,Number,Percent,,,Number,Percent,
,Total,"1,169",100,%,,208,100,%,,529,100,%,,432,100,%
Sex,,,,,,,,,,,,,,,,
,Male,"1,072",91.9,%,,162,78.3,%,,490,92.6,%,,420,97.4,%
,Female,95,8.1,,,45,21.7,,,39,7.4,,,11,2.6,
Race/Hispanic origin*,,,,,,,,,,,,,,,,
,White,697,62.6,%,,52,25.7,%,,365,72.3,%,,280,69,%
,Black ,196,17.6,,,100,49.5,,,46,9.1,,,50,12.3,
,Hispanic,187,16.8,,,43,21.3,,,79,15.6,,,65,16,
,American Indian or Alaska Native,12,1.1,,,3,1.5,,,6,1.2,,,3,0.7,
,"Asian, Native Hawaiian, or Other Pacific Islander",21,1.9,,,4,2,,,9,1.8,,,8,2,
Age,,,,,,,,,,,,,,,,
,18–24,169,14.5,%,,49,23.7,%,,70,13.2,%,,50,11.6,%
,25–34,404,34.6,,,71,34.3,,,188,35.5,,,145,33.6,
,35–49,422,36.2,,,66,31.9,,,199,37.6,,,157,36.4,
,50–64,144,12.3,,,13,6.3,,,61,11.5,,,70,16.2,
,65 or older,28,2.4,,,8,3.9,,,11,2.1,,,9,2.1,
,Median age,35 years,,,,32 years,,,,35 years,,,,36 years,,
Citizenship,,,,,,,,,,,,,,,,
,U.S. citizen,"1,093",94.6,%,,174,85.3,%,,509,97,%,,410,96.2,%
,Documented non-U.S. citizen,25,2.2,,,4,2,,,11,2.1,,,10,2.3,
,Undocumented non-U.S. citizen,37,3.2,,,26,12.7,,,5,1,,,6,1.4,
Prior conviction,,,,,,,,,,,,,,,,
,No prior convictions,774,66.3,%,,110,53.1,%,,369,69.7,%,,295,68.4,%
,Prior misdemeanor only,149,12.8,,,25,12.1,,,72,13.6,,,52,12.1,
,Prior felony conviction,244,20.9,,,72,34.8,,,88,16.6,,,84,19.5,
"Note: The unit of count was a defendant interviewed, investigated, or supervised by federal pretrial services. Data were missing for the following: sex (2), race/Hispanic origin (56), age (2), citizenship (14), and prior conviction (2).",,,,,,,,,,,,,,,,
"*Excludes persons of Hispanic or Latino origin, unless specified.",,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services Automated Case Tracking System, fiscal year 2020.",,,,,,,,,,,,,,,,
