name,role,level,Health,AttackSpeed,HP5,MP5,Mana,PhysicalProtection,PhysicalPower,MagicProtection,MagicalPower
Achilles,Warrior,1,665.0,0.95,9.0,4.7,205.0,23.8,38.0,32.0,0.0
Achilles,Warrior,2,754.0,0.962,9.75,5.09,240.0,27.0,40.0,33.6,0.0
Achilles,Warrior,3,932.0,0.986,11.25,5.87,310.0,33.4,44.0,36.800000000000004,0.0
Achilles,Warrior,4,1199.0,1.022,13.5,7.04,415.0,43.0,50.0,41.60000000000001,0.0
Achilles,Warrior,5,1555.0,1.07,16.5,8.6,555.0,55.8,58.0,48.00000000000001,0.0
Achilles,Warrior,6,2000.0,1.1300000000000001,20.25,10.55,730.0,71.8,68.0,56.00000000000001,0.0
Achilles,Warrior,7,2534.0,1.2020000000000002,24.75,12.89,940.0,91.0,80.0,65.60000000000001,0.0
Achilles,Warrior,8,3157.0,1.2860000000000003,30.0,15.620000000000001,1185.0,113.4,94.0,76.80000000000001,0.0
Achilles,Warrior,9,3869.0,1.3820000000000003,36.0,18.740000000000002,1465.0,139.0,110.0,89.60000000000001,0.0
Achilles,Warrior,10,4670.0,1.4900000000000004,42.75,22.250000000000004,1780.0,167.8,128.0,104.00000000000001,0.0
Achilles,Warrior,11,5560.0,1.6100000000000003,50.25,26.150000000000006,2130.0,199.8,148.0,120.00000000000001,0.0
Achilles,Warrior,12,6539.0,1.7420000000000004,58.5,30.440000000000005,2515.0,235.0,170.0,137.60000000000002,0.0
Achilles,Warrior,13,7607.0,1.8860000000000006,67.5,35.120000000000005,2935.0,273.4,194.0,156.8,0.0
Achilles,Warrior,14,8764.0,2.0420000000000007,77.25,40.190000000000005,3390.0,315.0,220.0,177.60000000000002,0.0
Achilles,Warrior,15,10010.0,2.210000000000001,87.75,45.650000000000006,3880.0,359.8,248.0,200.00000000000003,0.0
Achilles,Warrior,16,11345.0,2.390000000000001,99.0,51.50000000000001,4405.0,407.8,278.0,224.00000000000003,0.0
Achilles,Warrior,17,12769.0,2.582000000000001,111.0,57.74000000000001,4965.0,459.0,310.0,249.60000000000002,0.0
